Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type (bytes),Average inter packet time up,Average inter packet time down,ecart-type temps inter paquet up,ecart-type temps inter paquet down
5da90182815cfed367a3cc78c709da8b864dd24e215b869634d051e6184d1ead,57,27,30,1329,1071,1561,75789,44.57,877.67,1.71,1.54,5.87,5.58
9a9c04f19f1de50f2e9cc776e491a08078d574db0761fb0435db3946c7f35f81,18,9,9,167,218,117,3023,170.64,228.50,21.33,14.55,27.51,25.20
7bf6509a61afbd76b054d34dcc6b640c74d5bcf8b14cf5c2397e5b938a0af3ee,56,18,38,1945,77,2830,108970,126.13,2554.82,7.42,3.39,15.19,10.94
3c412df9da0847fcbe3bf31c66c0ded01e0857ee022f3774ccec83e589786adb,15,6,9,562,68,892,8442,174.20,586.75,34.84,21.77,23.16,24.89
017163942bdda8b1b1f3c994be2116dada7f09b7137e2843bb0109e3f0f35197,21,9,12,931,952,914,19552,48.69,572.98,6.09,4.42,11.02,9.60
a4a3473f489f1fa9d66b1ec083c6eabc625387cf7e92b07eeaf0dc17475735d5,24,9,15,876,722,969,21044,47.23,573.73,5.90,3.37,10.67,8.53
0af506003029d4ee1dc88a7e73be306bd67d26722f271a2e723c8a2cb5de0c6f,14,7,7,786,698,874,11007,47.05,564.92,7.84,7.84,11.75,11.69
8dcea84d5d2e86aeda66298cb10c86857a6f78ded5fab2975f36a485fbe856f8,1802,61,1741,45981,562,47573,82859456,120.98,23243.10,2.02,0.07,2.31,0.56
15f3b55d336ca3b8621998b2f7d38b8ccd71c63f50992ce1a16fe9060058d0e4,26,14,12,29,29,31,778,169.01,3.73,13.00,15.09,4.82,0.29
bd2e502c76ff7f0a2120ac0962944c657642fb5a03d5755364686e64a1f765f6,132,11,121,27651,475,30122,3649997,15.28,25258.59,1.53,0.13,4.50,1.36
a9be8681b6dd4d10bbd5930de1e6fd4e9017d2e0f806f2ab0c8e3ee38e10532f,51,12,39,1593,79,2059,81268,114.39,3047.03,10.38,3.01,18.90,11.20
fdf02a6218fce00c13abe1a14c0b0b5acee24dcf996a3d198910a96836ebac3c,10,4,6,344,202,440,3449,0.03,411.97,0.01,0.00,0.01,0.01
d13a6483be962a475aff94707a0aa8d5a5b1f8987ac5d20c2069420050f86a8e,16,7,9,823,873,784,13176,31.24,584.05,5.21,3.90,11.48,9.87
294b7d5a34a63cc2d177628b6d3c4201acb8ef0189e65169696eae3cf18e3afc,14,7,7,654,525,782,9157,30.47,591.01,5.08,5.08,11.21,11.15
10ba94c66d9aad02fa5acc9992d0d003d992f8f5b97d47a82211c1057020154b,20,9,11,961,864,1041,19235,30.34,545.88,3.79,3.03,9.92,8.99
03f9164c21814431ae41fbbcb62da8861f04f80d583c462f39136df4fa1369a5,1354,37,1317,47156,565,48465,63849546,63.47,22915.80,1.76,0.05,1.42,0.37
