Port 1,Port 2,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type,inter packet time
50690,443,718,619,99,78,82,57,56402,1352.285602,12.111907491629562,1.8860329177126918
443,52474,508,475,33,129,134,54,65561,1353.799754,95.7639747875094,2.670216477317554
55897,443,20,10,10,343,357,328,6863,0.16706,473.5826511813962,0.008792631578947368
42799,443,14,6,8,379,369,387,5314,0.092048,459.87198751169785,0.007080615384615385
45550,443,17,10,7,358,406,288,6087,0.161833,488.42862933243083,0.0101145625
37318,443,16,9,7,367,429,287,5875,0.160929,484.3110078696849,0.0107286
44636,443,16,8,8,419,139,698,6709,38.562799,539.8812043808805,2.5708532666666666
59028,443,20,8,12,513,117,776,10266,38.527509,574.9836606374132,2.0277636315789476
40766,443,17,7,10,281,201,337,4790,38.485309,345.1293925151184,2.4053318125
49428,443,96,41,55,216,290,161,20777,38.395578,252.9824905334222,0.40416397894736844
49440,443,8,4,4,440,198,683,3526,0.036954,443.18330011407244,0.005279142857142857
41446,443,10,6,4,312,140,569,3124,38.285409,412.35984285572715,4.2539343333333335
47010,443,33,11,22,712,134,1002,23522,38.271557,605.2857455718498,1.19598615625
47000,443,8,4,4,395,198,592,3163,0.054953,430.9918611470523,0.007850428571428572
41458,443,9,6,3,298,255,384,2685,38.213241,287.30510302154784,4.776655125
60696,443,13,7,6,408,154,704,5310,38.113495,499.0951220242514,3.1761245833333334
40888,443,70,10,60,1459,304,1652,102180,37.489086,1239.4681479553715,0.5433200869565218
33164,443,8,4,4,350,198,503,2804,0.03659,458.8542797010833,0.005227142857142856
50804,443,107,53,54,190,91,287,20387,1.286946,340.27782265905745,0.012140999999999999
48976,443,641,137,504,1001,304,1190,641688,1.627215,568.2657438401399,0.0025425234375000003
40890,443,7,4,3,397,198,663,2783,0.035226,473.4550384876982,0.005871
40902,443,15,9,6,367,341,406,5511,34.906669,510.5842144054201,2.4933335
44123,443,32,16,16,503,234,772,16108,0.087952,592.036936664428,0.0028371612903225806
52602,443,41,19,22,466,353,564,19133,0.635316,565.065919303964,0.0158829
56557,443,33,18,15,476,198,810,15730,0.141552,583.8377559326951,0.0044235
40878,443,15,7,8,294,187,388,4423,0.081159,358.2708224544977,0.005797071428571428
41472,443,19,10,9,457,189,754,8689,0.095286,563.4272990631887,0.005293666666666666
40890,443,14,7,7,208,210,206,2917,0.026712,262.74827908716225,0.0020547692307692307
32846,443,23,7,16,898,188,1209,20675,0.203629,608.9164940994696,0.009255863636363637
42262,443,3214,523,2691,1005,93,1182,3232330,0.959009,430.0500805946025,0.00029847774665421725
57240,443,12,7,5,395,195,676,4748,33.140727,491.23421659688523,3.0127933636363635
41300,443,16,8,8,310,147,473,4961,0.111033,365.4793887399808,0.0074022
59798,443,57,7,50,1971,591,2164,112355,8.447735,1131.0865516480935,0.1508524107142857
39466,443,18,7,11,938,159,1435,16901,10.129373,1030.0582223146537,0.5958454705882352
49572,443,17,9,8,526,204,888,8953,0.076679,583.0069055363874,0.0047924375
39000,443,147,27,120,13083,211,15980,1923332,32.975129,16562.641626093693,0.2258570479452055
39012,443,8,4,4,352,198,506,2817,0.041374,457.7060840484863,0.005910571428571429
39028,443,8,4,4,352,198,506,2818,0.043786,457.6193150425362,0.006255142857142857
39042,443,8,4,4,352,198,506,2818,0.043376,457.6193150425362,0.006196571428571428
39058,443,7,4,3,399,198,667,2795,0.042405,472.111885735851,0.0070675
39066,443,7,4,3,399,198,667,2795,0.042744,472.111885735851,0.007123999999999999
33087,443,10,3,7,467,531,439,4671,0.045972,537.3349886244148,0.005108
48686,443,34,9,25,1001,150,1308,34057,32.920974,801.0521654669614,0.9976052727272727
52769,443,15,7,8,565,249,842,8485,0.075338,588.3957473975789,0.005381285714285714
59806,443,11,5,6,461,374,533,5074,8.025358,389.143135832163,0.8025358
59810,443,15,7,8,508,481,532,7625,7.961668,347.0190516703978,0.5686905714285715
55546,443,19,8,11,535,408,627,10174,0.32941,535.3483242290459,0.018300555555555556
59822,443,7,4,3,270,343,173,1893,6.3255,257.38123871179175,1.05425
40178,443,14,7,7,435,399,470,6092,0.247559,457.33636529408875,0.019043
40180,443,14,8,6,495,531,446,6930,0.284975,518.1793677317316,0.021921153846153844
35652,443,18,10,8,312,357,256,5628,0.166767,448.6650569560029,0.009809823529411765
