Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type,inter packet time
1df0defdfe75f45a45e27fe403fb1b837f725e18e52e00082788e0bd21209555,2,1,1,31,31,31,62,0.000966,0.0,0.000966
e46aac976d2cd1a57cb4cf243028f98faad8b60ed7a73bcd5971f5f967a3c076,407,118,289,657,307,801,267746,190.919432,602.7365015548769,0.4702449064039409
3548004bdf80c2061c0f4dafd80f621edcc6ce9dd805146534004756e1a691a1,54,49,5,48,48,51,2613,188.29073,13.851616654766955,3.552655283018868
4ce17cbc9753656157fed04738c8836e7554ad68cd1298d50770285fcd82ccdc,56,45,11,69,61,103,3905,186.472578,50.7622226912004,3.390410509090909
9fc35ceff1113454531d5ee665b8852a1747d2dd17f3459ae9515a2c4574dc08,3,2,1,0,0,0,0,0.023976,0.0,0.011988
c2189f832c2d6d65719e53098df1a20d39c4790c7c064d5d58b5c0e3b66cbc83,187,60,127,783,129,1092,146465,0.907937,548.3976642114862,0.004881381720430108
aef435ea0e5880f595dde8192a44b7342be73f9358bbed7c41bc9882a1121e21,1,1,0,39,39,0,39,0.0,0.0,0
6f28e8891d07f6790bd60989d45f0c03b5ed11f4193ba97d6c277dd1d8c7cb2d,1,1,0,39,39,0,39,0.0,0.0,0
60e0a0154aa030a03fbaafd801d3528df69afae045b097568a12c5a9fe1e3317,1,1,0,39,39,0,39,0.0,0.0,0
50ada608d358e29a9ba07b078262af3ea9ec256ebf1714b981a00377b7395968,2,2,0,31,31,0,63,0.000207,7.5,0.000207
9d096d1db8eded1d0b6d7def946fc4ee423c9fbbab5cb4e80e74f5ce90d527bd,1,1,0,39,39,0,39,0.0,0.0,0
bed3c4a3d35e5486764858dc66f482ba919e52536a671fcf11af0bb22457b441,20,9,11,333,502,194,6661,0.234606,474.59787978877443,0.012347684210526316
1e1e0cb6227b8998927ca52d6606eef161a004e5e733254355b854036717abd3,4,2,2,31,31,31,126,0.023657,7.5,0.007885666666666668
a8e40f2a5482cb6189fc36c848ef0166f880ca7df102ab769678296c37bf08f1,22,11,11,385,470,301,8490,0.614193,508.27461341742037,0.029247285714285715
bf49701b24abae74291fd45793247e37a79bec26a53813d57de28de6e6f0874e,22,11,11,305,417,194,6730,0.228177,460.38866081634166,0.010865571428571428
